Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 IUPU,50,68,53,68,32,0
 DEL,49,55,53,61,49,15
 UVM,62,58,65,64,35,7
 UTSA,64,62,69,71,48,13
 WEB,57,64,61,64,31,9
 S&T;,44,79,47,79,32,6
 GASO,50,55,57,62,59,13
 EIU,53,61,56,67,38,10
 SDSU,73,49,75,52,39,4
 UALR,41,82,46,86,28,2
 CHS,58,82,58,84,28,2
 SEMO,58,66,67,75,45,16
 MISS,80,53,82,59,35,2
 DRKE,64,62,66,64,35,5
 UNI,51,70,53,72,32,2
 VALP,67,72,71,80,67,14
 EVAN,61,40,68,44,25,7
 SIU,58,61,62,68,38,7
