Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 KENN,59,78,64,82,42,0
 PRIN,68,77,75,85,45,13
 MD,70,60,79,65,34,8
 FUR,62,80,65,82,25,0
 TEX,53,46,61,48,17,4
 PRST,64,69,69,71,30,3
 OSU,64,65,66,67,38,2
 SLU,42,71,45,75,37,0
 UTAH,69,74,69,81,28,2
 YSU,62,95,67,95,36,0
 PUR,73,60,82,67,34,6
 MORE,61,80,69,85,30,1
 WIU,43,99,46,107,24,2
 GTWN,85,85,89,91,59,4
 VILL,85,91,93,101,27,9
 XAV,75,67,86,79,45,16
 HALL,82,80,90,87,60,8
 CREI,76,70,85,74,22,9
