Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 BAY,102,64,107,66,35,1
 OZAR,49,93,51,100,53,6
 UCLA,95,92,106,101,45,10
 ALCN,70,97,76,102,62,6
 SCST,97,70,102,76,62,6
 TLSA,87,70,92,72,56,2
 MORE,74,78,78,82,39,6
 UALR,66,60,71,65,40,8
 SF,77,74,78,76,50,5
 CAL,63,93,69,96,53,0
 UALR,52,66,54,69,45,7
 MORE,87,86,98,94,59,7
 ORE,91,78,96,82,31,2
 AMCC,63,78,69,81,60,12
 SELA,71,64,73,69,59,16
 SHSU,75,67,82,76,56,6
 LAM,89,95,91,100,66,4
