Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 IOWA,90,58,95,62,53,5
 PUR,107,42,111,42,47,2
 SILV,49,92,51,101,64,3
 ND,103,61,105,66,51,6
 UNI,78,42,82,44,34,4
 EAS,61,107,65,113,70,6
 UMBC,79,63,84,73,44,11
 PRE,70,68,75,73,34,5
 DRKE,74,63,79,67,26,0
 MARQ,93,64,95,69,32,2
 NIU,93,72,95,77,45,3
 OAK,75,47,82,50,51,4
 NW,96,31,96,31,57,0
 BRAD,82,58,84,58,28,2
 SIUE,83,70,88,76,37,8
 WIS,77,62,82,70,50,6
 WMU,88,65,92,71,49,8
 NMSU,92,59,97,60,26,4
