Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 ORE,68,54,70,54,29,2
 ECU,74,47,76,50,44,0
 CIN,93,52,97,54,48,7
 CLEV,78,50,80,56,27,4
 RUTG,62,39,64,39,29,2
 CCSU,70,68,74,71,33,6
 OHIO,77,37,79,37,29,2
 GTWN,70,56,76,60,54,12
 NAVY,70,56,76,60,54,12
 CONN,71,59,72,59,43,2
 UMBC,71,64,81,74,41,13
 WVU,72,38,77,38,53,0
 MSM,72,38,77,38,53,0
 GT,74,62,76,62,24,2
 PSU,85,43,88,43,37,0
 NSU,65,62,75,67,44,9
 SAV,65,62,75,67,44,9
 FAMU,65,62,75,67,44,9
