Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 CAIRN,48,71,50,71,31,2
 DEP,77,54,81,57,55,7
 IPFW,80,69,85,71,29,0
 UIC,91,55,95,55,45,2
 ETSU,77,53,81,57,40,2
 GA CT,55,66,55,68,44,3
 TROY,89,61,95,64,36,2
 BING,81,62,85,64,32,2
 ECU,57,52,63,57,36,12
 UMBC,74,58,81,60,26,6
 DUQ,91,41,97,48,36,6
 DEL,62,56,68,59,34,6
 PITT,64,61,74,68,38,10
 NEB,82,61,85,68,27,5
 PENN,102,51,105,52,39,6
 NCCU,60,56,65,62,44,8
 SCST,56,60,62,65,44,8
 NCAT,56,60,62,65,44,8
