Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 VT,103,79,111,79,50,1
 DRBRN,80,99,82,105,39,5
 SEA,94,67,102,71,51,2
 HBU,99,106,109,116,78,11
 SLU,66,66,70,72,35,2
 SH,67,123,69,132,48,6
 IPFW,79,74,91,82,56,10
 UCLA,104,69,106,73,38,5
 TOL,80,76,86,84,37,9
 WMU,84,78,87,79,44,6
 MICH,87,56,90,58,44,2
 ETSU,73,66,81,71,53,4
 MURR,73,67,81,72,43,9
 GB,91,76,95,83,62,9
 MILW,86,79,87,79,54,4
 WRST,73,69,80,73,48,8
 NKU,53,52,56,54,25,4
