Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 ILST,86,89,87,98,53,10
 SIE,89,86,98,87,53,10
 BGSU,77,74,83,80,52,6
 MTU,80,68,85,72,70,13
 DEN,65,69,71,79,39,10
 NAVY,46,68,54,70,26,4
 SFNY,48,75,51,75,37,4
 WEBI,61,111,61,115,26,2
 MTU,71,69,77,74,52,18
 FAU,87,84,92,88,55,6
 UTA,84,87,88,92,55,6
 ORU,81,64,83,64,21,2
 FIU,81,73,91,88,73,17
 WICH,65,62,75,65,36,7
 URI,78,55,80,60,33,3
 FM,40,76,42,76,26,2
 FIT,59,52,62,54,29,5
 STET,52,90,52,90,29,0
