Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 OAK,83,63,85,71,45,4
 DEF,55,107,59,114,24,2
 DSU,69,80,71,85,29,0
 UIC,49,61,51,67,48,3
 UK,0,0,0,0,0,0
 ETSU,75,67,83,73,48,8
 DET,74,79,82,91,56,10
 IKO,63,91,63,99,22,2
 SIUE,69,79,71,86,32,8
 AKR,80,74,83,79,38,8
 M-OH,74,71,81,73,41,7
 STET,78,83,84,88,50,5
 IND,67,86,72,92,38,6
 LIB,67,86,72,92,38,6
 LT,67,86,72,92,38,6
 OLIV,84,91,93,99,53,6
 CCD,53,89,59,92,35,4
 ORU,89,53,92,59,35,4
 DEN,61,80,63,82,32,4
