Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 UCSC,58,95,65,96,44,4
 CSUN,71,89,73,89,35,1
 ARK,74,65,83,75,60,11
 EVAN,57,54,59,57,22,4
 GMU,69,75,73,79,42,8
 MTST,62,78,67,80,65,2
 WEB,62,80,71,83,39,5
 LBSU,69,100,70,106,50,2
 CSB,44,62,55,70,51,8
 CP,62,44,70,55,51,8
 UAPB,50,78,52,78,23,0
 ORE,64,54,68,61,43,6
 CSMB,54,89,56,93,21,0
 NEV,76,63,80,65,38,2
 AFA,56,65,59,71,44,10
 USU,74,75,81,79,36,6
 CSU,69,73,79,82,48,11
 BSU,62,58,70,64,58,14
