Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 WAKE,79,80,83,85,35,2
 CSB,46,75,53,77,49,5
 BSC,47,111,52,120,71,6
 MOST,111,47,120,52,71,6
 UMKC,111,47,120,52,71,6
 TOWS,60,60,70,67,63,14
 BRAD,55,50,62,57,59,13
 TWC,58,93,61,97,40,4
 SAV,85,94,91,102,53,8
 GMU,47,72,51,74,35,2
 CSB,47,72,51,74,35,2
 KENN,66,74,69,78,20,4
 ETSU,79,57,79,59,39,0
 TROY,66,73,80,86,49,16
 USA,63,63,69,67,57,9
 ARST,49,80,49,80,27,0
 UALR,65,66,69,72,44,4
