Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 NIU,79,61,85,65,62,3
 LKLD,27,96,27,98,39,2
 MSST,75,62,77,68,45,4
 FAMU,49,54,50,57,44,6
 STET,75,63,83,71,18,1
 BEL,79,75,86,75,37,4
 EIU,54,51,57,59,17,0
 MIZ,92,69,100,77,26,2
 INST,83,59,85,63,57,6
 UWP,47,82,50,86,36,2
 ROCK,64,103,64,108,38,3
 BGSU,73,67,81,76,51,10
 WIS,74,51,81,60,37,2
 DET,76,91,83,95,62,9
 OAK,73,74,79,80,28,4
 IUPU,60,53,67,63,54,13
 CLEV,76,76,80,79,45,4
 YSU,76,76,80,79,45,4
