Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 GW,76,71,84,75,51,12
 IND,75,66,86,77,45,8
 GONZ,97,60,106,67,44,2
 EMU,72,57,76,66,51,4
 ARST,85,76,92,78,43,2
 USF,72,47,75,52,35,2
 LIB,73,52,75,55,33,6
 CPE,73,52,75,55,33,6
 PENN,73,52,75,55,33,6
 GTWN,75,65,81,67,31,4
 AMER,66,58,74,63,39,8
 WAU,66,58,74,63,39,8
 JVST,61,60,62,60,30,2
 UTEP,67,52,69,56,35,0
 UNCW,74,72,75,80,52,5
 HAW,78,57,84,59,47,8
 FAMU,78,57,84,59,47,8
 BCU,78,57,84,59,47,8
 HAMP,78,57,84,59,47,8
