Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 CHS,58,90,62,95,53,5
 ALST,53,88,58,92,44,2
 GRAM,64,76,74,85,42,11
 ULL,70,58,80,71,48,12
 SDST,74,66,80,72,34,12
 UAB,85,88,85,95,53,3
 VT,79,55,79,55,38,2
 PSU,69,64,77,73,32,5
 IND,77,57,77,64,32,2
 ISU,78,74,84,78,28,6
 SOU,56,89,60,91,48,2
 DRKE,60,86,64,90,24,0
 SUU,61,88,64,92,35,3
 COLO,65,72,73,80,53,10
 NIU,71,94,75,98,31,0
 MICH,71,56,75,68,27,6
 OSU,81,72,92,81,46,10
 MD,87,73,91,73,35,0
