Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 UAB,94,67,96,67,37,0
 GTWN,70,51,73,57,38,5
 NCAT,85,80,90,82,46,10
 WEBI,66,85,70,88,50,8
 FAIR,85,66,88,70,50,8
 WRST,68,42,68,44,28,2
 WEBB,95,97,99,106,59,9
 BCU,68,62,77,66,50,13
 EKY,64,63,70,65,41,6
 MILW,60,47,62,52,19,7
 FLN,49,84,51,89,26,2
 SCST,84,49,89,51,26,2
 NAU,78,64,83,72,36,9
 NCST,108,59,116,64,31,6
 MGAST,60,76,60,81,42,2
 MICH,71,47,76,51,24,0
 TRI,43,100,48,105,41,3
 UNF,84,81,86,90,23,2
