Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 TWC,38,95,42,100,52,0
 RICH,57,90,61,94,42,2
 BUFF,74,66,79,73,44,14
 SAV,67,78,71,86,32,7
 CHAT,74,72,75,77,39,2
 MSST,56,54,59,56,19,0
 ALST,61,71,69,77,41,13
 SAM,55,84,58,89,35,4
 ULM,84,55,89,58,35,4
 ULM,52,71,56,75,19,0
 ORST,70,67,70,69,39,2
 UPST,54,70,61,77,26,4
 HOW,60,61,60,62,30,2
 CHAT,64,65,70,67,22,2
 EKY,50,70,58,76,51,6
 MORE,63,67,69,76,40,9
 TNST,67,63,76,69,40,9
 BEL,53,58,60,64,23,7
