Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 BRI,78,50,80,50,42,5
 ODU,65,51,69,53,35,0
 NKU,82,75,87,78,76,10
 WEB,73,62,73,65,50,4
 UTSA,84,67,90,77,52,4
 APP,93,94,99,105,68,8
 RAD,67,64,69,68,27,0
 GMU,65,69,76,72,29,11
 CHAR,73,81,82,87,46,11
 CIT,78,82,84,82,33,2
 RICH,78,82,84,82,33,2
 RICH,66,67,74,71,22,5
 FIU,61,62,67,76,50,14
 FLA,70,61,72,63,39,2
 NE,76,70,81,70,57,6
 WM,75,69,84,76,47,7
 HOF,77,77,87,81,45,10
 NE,78,59,80,67,34,2
