Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 TULN,93,88,102,96,39,8
 FOR,71,63,81,68,54,14
 NERO,63,99,68,104,45,6
 M-OH,72,65,78,74,31,13
 HART,78,83,84,86,32,4
 UML,67,61,74,66,32,2
 BRWN,84,78,94,86,69,10
 NJIT,70,66,73,69,45,13
 HART,67,74,78,79,48,11
 STON,68,70,71,75,37,6
 FAIR,68,66,76,72,52,14
 SPU,62,53,71,56,48,8
 BING,61,64,66,74,42,14
 FDU,74,63,81,71,34,5
 MSM,53,67,57,71,37,1
 SFU,83,68,85,68,31,2
 RMU,76,71,88,79,35,9
