Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 STON,57,75,61,76,35,2
 UMES,41,92,43,96,39,2
 BUT,60,70,65,79,34,8
 BUCK,72,74,78,80,36,8
 JKST,45,71,45,76,23,2
 SBON,57,59,63,61,48,6
 UNM,61,79,64,80,41,5
 SYR,0,0,0,0,0,0
 PUR,72,67,80,75,45,12
 ILL,85,83,91,92,34,3
 OHIO,56,78,62,87,38,4
 WEBB,56,81,60,82,33,6
 CATH,54,74,59,76,30,3
 FDU,50,71,50,75,38,3
 UMBC,45,62,45,66,18,2
 PSU,64,65,69,75,38,9
 MSU,91,59,91,61,30,2
 IOWA,73,87,73,91,35,0
