Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 UNF,59,81,66,86,45,2
 CMU,58,67,65,72,38,6
 USM,47,61,47,61,14,0
 LSU,0,0,0,0,0,0
 CHAM,57,95,64,102,34,7
 VCU,60,57,60,68,33,1
 UCRV,35,85,42,87,17,1
 UNC,82,65,86,71,27,2
 IND,51,66,55,69,32,5
 OSU,63,60,71,62,43,8
 UCLA,67,75,69,78,61,2
 TEX,47,53,52,59,27,6
 DET,56,87,58,90,44,2
 AAMU,42,93,47,97,39,0
 JAC,47,71,51,76,24,0
 IOWA,56,71,68,75,27,6
 ILL,61,73,69,79,61,8
 PUR,69,69,70,69,18,2
