Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 UPST,73,88,77,92,65,11
 PROV,69,84,74,86,54,4
 NIAG,74,101,81,107,63,18
 WCU,60,90,64,92,71,4
 AAMU,57,93,57,100,23,3
 UMASS,93,57,100,57,23,3
 ALA,78,83,82,89,57,7
 MIA,80,71,86,81,37,7
 RUTG,65,85,67,89,80,4
 NEB,70,59,78,68,52,12
 ARK,91,72,95,79,50,2
 DRKE,62,64,67,68,27,2
 ORU,59,75,63,77,61,4
 FAU,55,93,60,95,26,0
 HARV,48,59,55,65,44,19
 ILL,60,69,67,77,60,10
 IND,71,70,75,71,31,9
