Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 PITT,59,66,62,71,33,8
 MIA,83,50,89,55,25,2
 PENN,66,41,66,45,23,0
 BRY,67,70,71,79,44,15
 WCMD,45,103,45,110,31,0
 SFNY,69,79,76,85,49,8
 FGCU,68,46,70,54,26,4
 DEN,62,72,71,79,63,13
 DEL,67,73,76,82,56,9
 MORG,54,63,59,66,33,3
 COPP,63,54,66,59,33,3
 CLMB,64,62,68,73,28,10
 LIP,65,61,73,64,45,8
 L-MD,65,61,72,63,36,6
 LEH,64,72,66,78,34,4
 AMER,55,66,64,70,25,8
 COLG,58,52,70,62,22,16
