Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 EIU,59,62,68,72,57,13
 UNT,61,84,67,86,63,8
 SJU,75,54,79,56,44,2
 UND,68,91,70,92,37,2
 UCF,56,49,68,59,38,14
 MRST,51,79,59,84,23,0
 LBSU,73,77,80,85,32,11
 BC,57,69,62,71,23,1
 MSU,80,57,86,57,56,1
 MINN,59,70,68,78,52,12
 CREI,70,59,78,68,52,12
 KU,68,68,73,72,16,2
 UTSA,86,94,94,104,60,12
 DSU,61,82,68,85,27,5
 STET,52,63,62,71,46,6
 NW,53,63,55,70,33,0
 PUR,72,56,74,62,34,4
 WIS,49,56,59,63,38,12
