Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 IDHO,64,81,64,88,47,0
 URI,74,80,81,88,62,8
 SCU,61,89,63,93,27,6
 PAC,62,85,74,89,43,6
 DAV,63,78,68,81,28,2
 HAW,47,59,54,67,50,6
 ILST,68,93,68,98,36,0
 UCI,60,68,65,76,32,2
 TTU,76,71,82,76,55,8
 TCU,76,69,84,80,51,6
 RAD,59,72,62,77,47,6
 UCD,63,86,73,88,35,1
 SIU,56,81,64,86,34,8
 SF,81,56,86,64,34,8
 FRES,63,76,65,80,38,2
 UNM,70,72,74,77,40,2
 WYO,75,83,83,92,57,8
 AFA,66,78,75,86,29,5
