Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 TRGV,104,105,106,111,64,6
 VILL,111,76,113,77,46,2
 SPHL,81,123,83,127,51,2
 WKU,90,77,100,86,66,6
 PRE,61,73,64,76,38,3
 UMBC,83,86,89,88,38,4
 BCM,63,102,68,104,39,2
 ULL,100,79,105,80,91,5
 IDHO,75,66,79,68,44,4
 CUL,51,87,51,92,18,1
 TULN,69,62,76,69,35,6
 MOB,50,94,52,96,31,1
 SEA,89,80,95,89,44,9
 NWST,44,80,46,87,42,2
 IW,52,70,60,77,30,2
 SFA,76,58,81,64,54,4
 HBU,66,66,71,72,63,8
