Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 AUB,101,63,102,74,57,8
 LYN,81,78,83,80,51,8
 USD,65,54,71,62,57,15
 GCU,83,58,85,60,53,2
 RMU,83,58,85,60,53,2
 UALR,66,49,70,55,33,4
 KENT,74,64,79,70,44,10
 BGSU,83,72,92,77,33,9
 L-IL,78,49,80,52,42,4
 MACU,34,109,34,112,36,0
 NIAG,76,77,85,82,53,0
 EKY,83,60,83,66,35,0
 ODU,56,46,61,50,45,6
 STON,61,64,68,74,52,20
 COPP,62,65,67,75,44,9
 NCAT,65,62,75,67,44,9
 NCCU,62,59,64,63,37,6
