Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 MSU,96,61,98,66,47,1
 MICH,81,59,86,66,45,2
 VCU,88,85,95,85,28,6
 FLA,102,64,108,68,46,3
 MSM,78,73,84,81,34,6
 WOF,76,79,86,83,22,5
 EAU,69,96,78,101,46,4
 MIA,77,59,85,65,35,9
 EMU,79,82,81,84,38,2
 TRI,58,82,58,85,10,0
 FAMU,82,58,85,58,10,0
 FIU,80,83,83,87,40,5
 MIZ,78,47,85,51,15,0
 BALL,74,63,79,65,15,4
 LSU,102,52,104,52,14,2
 MSST,102,81,109,81,39,1
 FLN,64,102,70,104,49,7
 JAC,81,84,90,86,23,2
