Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 MTST,78,72,89,80,48,12
 OKLA,102,82,108,89,44,0
 UNM,100,68,103,71,50,2
 LOU,81,71,87,78,32,8
 TCU,95,61,99,66,28,2
 TNTC,82,82,86,85,43,2
 JKST,70,73,75,73,28,0
 DRKE,68,69,73,75,33,3
 WASH,82,70,86,73,36,1
 UCSB,71,59,77,70,26,7
 DRKE,86,65,93,74,27,0
 ARST,70,69,74,77,28,5
 CRN,58,95,58,99,25,0
 KU,107,58,109,64,26,0
 MTST,64,78,71,84,49,14
 ORU,78,64,84,71,49,14
 DOA,55,98,60,100,29,0
 SDST,95,82,101,88,39,7
