Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 CAM,65,73,75,86,64,12
 FDU,57,73,57,81,40,2
 MONT,55,64,57,70,39,10
 CLMB,61,74,65,79,34,6
 PITT,74,61,79,65,34,6
 TAMU,88,77,98,87,57,7
 ORU,46,83,48,86,26,0
 NCST,75,69,85,78,60,12
 IOWA,64,69,73,77,32,5
 WIS,60,54,64,63,44,9
 GW,50,74,52,74,36,3
 GMU,50,70,54,72,33,2
 BING,62,77,65,80,20,7
 RID,64,65,71,70,34,6
 COPP,43,85,43,88,37,0
 MD,65,64,75,69,38,9
 NW,60,76,63,78,29,1
 IND,66,60,74,70,40,15
