Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 UTAH,79,58,83,62,57,4
 ORE,89,62,100,67,49,4
 UNLV,94,57,98,63,59,4
 EKY,94,57,98,63,59,4
 GAST,50,65,56,71,40,11
 UCSB,66,65,69,66,50,10
 NMSU,65,56,69,57,32,2
 HAW,66,57,72,60,61,10
 TAMU,71,52,73,53,41,3
 TLSA,67,63,77,73,47,10
 HOU,90,70,92,72,46,6
 OHIO,77,62,84,65,37,0
 UNM,84,69,87,78,41,2
 JAR,75,104,80,110,44,2
 ALCN,60,75,64,76,44,4
 SOU,72,75,74,78,56,4
 TXSO,75,72,78,74,56,4
