Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 SIUE,72,100,74,105,39,0
 CHS,42,107,42,111,47,2
 MARQ,71,86,71,86,39,0
 FAIR,63,102,64,106,30,2
 TENN,70,73,78,75,37,2
 WKU,70,67,77,73,44,8
 ARIZ,61,89,64,89,37,3
 LOU,0,0,0,0,0,0
 MD,67,72,75,80,45,12
 NW,67,67,69,74,29,6
 VALP,50,74,50,80,36,4
 IUPU,54,83,61,86,28,3
 BUT,60,73,67,82,34,6
 TNST,48,94,48,97,38,2
 LIP,66,92,66,98,37,2
 RUTG,49,80,51,82,44,4
 NEB,56,72,62,74,34,4
 MICH,69,69,69,70,18,2
