Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 CIN,103,77,107,77,40,1
 ETSU,74,53,76,61,42,4
 MGAST,80,108,80,114,50,3
 ULL,109,79,115,82,68,4
 JVST,78,67,86,71,32,7
 ALST,78,67,86,71,32,7
 TTU,95,63,103,69,40,6
 WICH,105,62,112,66,37,3
 CVR,58,91,60,98,39,0
 WM,103,82,108,85,40,4
 GASO,94,85,102,91,53,8
 TAMU,109,61,113,66,19,5
 BAY,111,83,118,86,40,0
 UVA,76,44,78,47,23,0
 MSU,103,52,108,52,33,0
 COPP,103,52,108,52,33,0
 MORG,87,88,89,88,59,1
