Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 SLU,62,41,62,46,33,0
 PS,70,117,70,121,48,3
 WSU,69,55,75,59,27,2
 DET,67,94,71,102,51,2
 BEL,84,72,90,77,32,0
 WASH,81,78,89,84,51,12
 IDST,64,67,67,73,53,6
 KENN,50,64,54,66,34,0
 EWU,61,84,65,84,41,2
 PL,66,92,69,98,41,4
 SMC,92,66,98,69,41,4
 SM,70,82,72,88,40,8
 PORT,66,82,76,89,26,3
 CAL,77,55,81,59,40,9
 NICH,80,89,89,95,44,9
 GRAM,59,86,63,93,50,6
 UCRV,68,88,71,95,65,6
 GCU,65,55,73,57,40,6
