Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 MINN,88,73,92,77,65,11
 ALLEN,63,82,66,85,32,0
 UGA,65,61,74,65,33,10
 CHSO,67,61,82,72,39,17
 PAIN,54,75,59,79,44,7
 BGSU,73,68,83,74,27,12
 ACU,69,79,78,88,35,8
 CAM,91,74,93,74,29,2
 UNCA,91,74,93,74,29,2
 WEBB,86,65,87,66,42,8
 KSU,80,49,86,49,20,1
 DEN,82,58,84,69,25,3
 JVST,70,54,77,61,26,4
 OFC,70,74,75,83,32,3
 CREI,108,60,116,62,21,0
 NG,108,60,116,62,21,0
 UMKC,75,70,79,77,53,8
 NJIT,83,71,98,87,40,15
