Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 MAY,56,82,59,87,26,1
 BGSU,72,79,79,88,62,10
 TCU,70,68,76,71,25,5
 GRAM,53,77,55,84,48,4
 MTM,50,87,54,93,18,5
 USM,87,50,93,54,18,5
 UNCO,57,57,63,62,44,8
 YSU,49,76,53,81,30,0
 UMKC,63,81,63,82,48,2
 DUKE,92,72,96,80,40,6
 DRKE,60,91,65,91,15,0
 EWU,64,70,73,75,33,2
 NAU,73,82,77,90,66,7
 SJSU,60,74,62,76,42,0
 UCLA,78,66,85,82,45,13
 NORT,39,86,42,88,36,4
 DEN,65,82,71,82,49,0
 WIU,46,53,50,62,47,14
 NDSU,77,76,84,79,44,9
