Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 UCI,52,61,54,65,35,5
 MCO,51,75,54,78,61,6
 ALST,60,88,63,94,34,2
 KU,93,61,98,64,41,2
 WYO,72,62,77,65,55,4
 IOWA,66,74,72,80,34,12
 BUFF,69,83,80,94,50,17
 DAKO,92,51,92,60,23,2
 MISS,88,90,97,99,41,5
 MOST,72,51,73,53,18,2
 WICH,89,83,95,85,44,8
 CCD,61,100,67,103,18,0
 UND,59,96,63,99,53,8
 COLO,101,99,112,103,41,13
 DRKE,69,81,74,87,30,2
 UMKC,56,83,60,85,41,3
 PRES,60,111,68,111,32,1
 NDSU,73,85,80,87,47,5
 OMA,82,95,88,101,39,7
