Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 WIN,62,81,66,81,40,1
 UNI,58,60,64,69,37,8
 LOU,81,34,84,42,24,1
 MURR,71,67,79,73,34,8
 SIUE,54,86,59,86,51,6
 SJSU,51,76,58,76,40,2
 SLU,68,63,73,69,49,10
 SEMO,68,63,73,69,49,10
 JKST,47,64,51,69,46,6
 LAM,56,68,61,71,21,7
 NCAT,62,97,64,102,36,3
 NEV,81,56,86,64,34,8
 DUQ,62,63,64,74,55,12
 UNI,46,50,53,56,18,8
 DRKE,67,60,70,67,22,4
 EVAN,60,58,63,65,31,7
 VALP,83,67,83,72,43,2
 BRAD,61,58,68,62,38,7
