Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 SDST,61,52,65,54,35,5
 DEN,61,78,69,83,56,2
 CHA,61,78,69,83,56,2
 KSU,66,46,71,49,35,4
 ASU,97,76,99,78,54,2
 RID,77,68,90,82,54,14
 NAU,61,68,71,77,52,6
 UCLA,85,60,87,63,54,0
 WHI,60,102,65,112,36,7
 NEV,68,60,76,65,32,2
 USU,60,57,62,59,35,6
 TRGV,65,59,73,59,40,0
 SMC,69,63,73,66,42,4
 MONT,82,61,86,68,52,3
 IDHO,53,61,59,67,35,8
 NMSU,56,52,65,60,46,13
 UCD,60,46,64,53,47,6
 LBSU,64,82,73,86,28,3
