Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 GT,56,62,60,63,41,4
 UCA,92,95,101,106,45,10
 SCST,66,86,68,96,30,0
 CREI,94,87,100,89,66,6
 WIS,67,67,70,72,35,2
 UCI,60,85,63,87,54,0
 CSB,59,68,66,75,48,10
 DET,69,104,73,106,38,5
 MONT,104,69,106,73,38,5
 MICH,75,67,78,69,61,2
 CIN,71,61,77,63,32,10
 SDAK,66,78,82,85,45,13
 UK,69,75,75,83,31,9
 WSU,74,89,82,96,51,4
 WASH,53,66,53,74,48,7
 STAN,98,99,107,99,67,4
 CAL,77,101,84,107,59,2
