Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 WICH,107,54,109,57,40,2
 HAS,53,105,59,110,40,4
 KSU,72,47,72,51,53,4
 L-IL,61,52,66,56,42,6
 MAN,51,64,63,74,55,17
 GASO,64,51,74,63,55,17
 PENN,66,63,68,65,43,2
 UTM,49,65,55,65,16,0
 SDAK,81,63,82,63,48,2
 SEMO,83,74,91,87,44,10
 NCST,80,65,88,69,38,6
 IW,72,64,78,72,41,11
 CMU,83,79,92,86,54,9
 SDST,83,56,85,60,41,3
 AVILA,58,85,58,89,38,2
 UPST,70,75,77,79,53,8
 TRGV,62,55,73,61,54,6
