Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 NICH,105,104,111,106,64,6
 BCU,71,88,74,92,71,5
 AMCC,73,75,75,82,71,8
 TXST,73,56,75,58,50,2
 UNT,56,68,63,75,63,14
 GT,73,57,78,68,54,7
 GRAM,68,62,82,76,62,11
 SMU,89,60,95,64,37,5
 TAMU,74,56,78,60,43,2
 RICE,64,69,67,69,40,3
 AMCC,74,78,78,82,32,4
 UCI,59,65,59,73,40,0
 UTA,82,63,86,65,45,0
 OKST,100,79,102,83,57,2
 HAMP,66,71,69,80,49,9
 LDY,72,94,75,96,56,0
 UMKC,55,62,61,73,54,6
