Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 ECEN,52,85,59,92,52,2
 TXST,71,64,78,79,47,18
 CCAR,75,68,83,69,48,8
 BRAD,62,64,71,69,48,13
 JMU,67,84,77,90,52,4
 AMCC,53,68,58,72,45,4
 TLSA,87,83,100,96,61,21
 OTAZ,60,121,64,125,51,2
 UVU,78,72,88,80,54,12
 OKLA,92,78,97,85,30,0
 HBU,64,82,71,87,59,6
 BET,82,64,87,71,59,6
 NEB,94,86,104,94,60,12
 RICE,57,74,66,79,48,6
 UNT,70,68,72,71,32,3
 LT,68,74,76,78,31,6
 USM,78,68,93,83,45,21
