Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 SCST,50,80,50,85,27,1
 YALE,55,86,61,89,42,2
 XAV,66,66,80,70,44,8
 BAY,60,55,70,65,49,14
 UCLA,67,67,72,70,35,2
 MILW,47,66,49,71,18,0
 UVA,45,33,49,37,7,2
 OSU,79,55,83,58,31,1
 PSU,54,60,63,64,44,9
 TEM,55,55,59,55,21,5
 MARQ,79,58,82,63,30,1
 WKU,71,75,80,81,34,11
 GB,51,74,60,81,37,2
 CHS,62,77,70,82,50,6
 UML,48,78,53,82,24,0
 IND,55,66,61,71,34,8
 RUTG,53,53,64,60,31,6
 NEB,56,49,63,59,38,12
