Competition Name,Sport Name,Event (Weight Category),Gender,Match Date,Athlete 1 Name,Athlete 1 Country,Result 1,Result Value 1,Athlete 2 Name,Athlete 2 Country,Result 2,Result Value 2
Princess Auto Elite 10,Curling,Team,Men,9/26/18,Brad Gushue,CAN,WON,4,Jason Gunnlaugson,CAN,LOST,1
Princess Auto Elite 10,Curling,Team,Men,9/26/18,Reid Carruthers,CAN,WON,4,Brad Jacobs,CAN,LOST,3
Princess Auto Elite 10,Curling,Team,Men,9/26/18,John Epping,CAN,WON,5,Glenn Howard,CAN,LOST,1
Princess Auto Elite 10,Curling,Team,Men,9/27/18,Niklas Edin,SWE,LOST,1,Ross Paterson,SCO,WON,4
Princess Auto Elite 10,Curling,Team,Men,9/27/18,Bruce Mouat,SCO,WON,4,Jason Gunnlaugson,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,9/27/18,Kevin Koe,CAN,WON,3,Brad Jacobs,CAN,LOST,0
Princess Auto Elite 10,Curling,Team,Men,9/27/18,Brad Gushue,CAN,LOST,2,Glenn Howard,CAN,WON,3
Princess Auto Elite 10,Curling,Team,Men,9/27/18,Bruce Mouat,SCO,LOST,3,John Epping,CAN,WON,5
Princess Auto Elite 10,Curling,Team,Men,9/27/18,Jason Gunnlaugson,CAN,LOST,1,Glenn Howard,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Men,9/27/18,Niklas Edin,SWE,LOST,1,Kevin Koe,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Men,9/27/18,Reid Carruthers,CAN,WON,5,Ross Paterson,SCO,LOST,2
Princess Auto Elite 10,Curling,Team,Men,9/28/18,Bruce Mouat,SCO,LOST,1,Glenn Howard,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Men,9/28/18,Brad Jacobs,CAN,WON,4,Ross Paterson,SCO,LOST,1
Princess Auto Elite 10,Curling,Team,Men,9/28/18,Niklas Edin,SWE,LOST,2,Reid Carruthers,CAN,WON,3
Princess Auto Elite 10,Curling,Team,Men,9/28/18,Brad Gushue,CAN,WON,4,John Epping,CAN,LOST,0
Princess Auto Elite 10,Curling,Team,Men,9/28/18,Kevin Koe,CAN,WON,5,Ross Paterson,SCO,LOST,2
Princess Auto Elite 10,Curling,Team,Men,9/28/18,Jason Gunnlaugson,CAN,WON,3,John Epping,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,9/28/18,Brad Gushue,CAN,WON,2,Bruce Mouat,SCO,LOST,0
Princess Auto Elite 10,Curling,Team,Men,9/28/18,Kevin Koe,CAN,LOST,1,Reid Carruthers,CAN,WON,2
Princess Auto Elite 10,Curling,Team,Men,9/28/18,Niklas Edin,SWE,LOST,0,Brad Jacobs,CAN,WON,3
Princess Auto Elite 10,Curling,Team,Men,9/29/18,Glenn Howard,CAN,LOST,0,John Epping,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Men,9/29/18,Kevin Koe,CAN,LOST,1,Brad Jacobs,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Men,9/29/18,Reid Carruthers,CAN,WON,3,John Epping,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,9/29/18,Brad Gushue,CAN,WON,4,Brad Jacobs,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Men,9/30/18,Reid Carruthers,CAN,LOST,1,Brad Gushue,CAN,WON,2
Princess Auto Elite 10,Curling,Team,Women,9/26/18,Jennifer Jones,CAN,WON,4,Chelsea Carey,CAN,LOST,0
Princess Auto Elite 10,Curling,Team,Women,9/26/18,Anna Hasselborg,SWE,WON,4,Jamie Sinclair,USA,LOST,1
Princess Auto Elite 10,Curling,Team,Women,9/27/18,Nina Roth,USA,LOST,2,Casey Scheidegger,CAN,WON,3
Princess Auto Elite 10,Curling,Team,Women,9/27/18,Tracy Fleury,CAN,LOST,3,Laura Walker,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Women,9/27/18,Rachel Homan,CAN,WON,4,Jamie Sinclair,USA,LOST,2
Princess Auto Elite 10,Curling,Team,Women,9/27/18,Tracy Fleury,CAN,LOST,0,Chelsea Carey,CAN,WON,4
Princess Auto Elite 10,Curling,Team,Women,9/27/18,Jennifer Jones,CAN,WON,5,Silvana Tirinzoni,SUI,LOST,2
Princess Auto Elite 10,Curling,Team,Women,9/27/18,Anna Hasselborg,SWE,WON,3,Casey Scheidegger,CAN,LOST,1
Princess Auto Elite 10,Curling,Team,Women,9/27/18,Jennifer Jones,CAN,WON,4,Laura Walker,CAN,LOST,1
Princess Auto Elite 10,Curling,Team,Women,9/27/18,Rachel Homan,CAN,LOST,0,Nina Roth,USA,WON,3
Princess Auto Elite 10,Curling,Team,Women,9/27/18,Chelsea Carey,CAN,LOST,2,Silvana Tirinzoni,SUI,WON,4
Princess Auto Elite 10,Curling,Team,Women,9/28/18,Laura Walker,CAN,WON,3,Chelsea Carey,CAN,LOST,2
Princess Auto Elite 10,Curling,Team,Women,9/28/18,Jamie Sinclair,USA,WON,4,Nina Roth,USA,LOST,2
Princess Auto Elite 10,Curling,Team,Women,9/28/18,Tracy Fleury,CAN,WON,3,Silvana Tirinzoni,SUI,LOST,2
Princess Auto Elite 10,Curling,Team,Women,9/28/18,Anna Hasselborg,SWE,WON,3,Nina Roth,USA,LOST,1
Princess Auto Elite 10,Curling,Team,Women,9/28/18,Rachel Homan,CAN,WON,4,Casey Scheidegger,CAN,LOST,3
Princess Auto Elite 10,Curling,Team,Women,9/28/18,Laura Walker,CAN,LOST,2,Silvana Tirinzoni,SUI,WON,4
