Team,Team Member,Competition,Country,Year
Rachel Homan,Rachel Homan (Skip),Princess Auto Elite 10,CAN,2018
Rachel Homan,Emma Miskew,Princess Auto Elite 10,CAN,2018
Rachel Homan,Joanne Courtney,Princess Auto Elite 10,CAN,2018
Rachel Homan,Lisa Weagle,Princess Auto Elite 10,CAN,2018
Tracy Fleury,Tracy Fleury (Skip),Princess Auto Elite 10,CAN,2018
Tracy Fleury,Selena Njegovan,Princess Auto Elite 10,CAN,2018
Tracy Fleury,Liz Fyfe,Princess Auto Elite 10,CAN,2018
Tracy Fleury,Kristin MacCuish,Princess Auto Elite 10,CAN,2018
Jennifer Jones,Jennifer Jones (Skip),Princess Auto Elite 10,CAN,2018
Jennifer Jones,Kaitlyn Lawes,Princess Auto Elite 10,CAN,2018
Jennifer Jones,Jocelyn Peterman,Princess Auto Elite 10,CAN,2018
Jennifer Jones,Dawn McEwen,Princess Auto Elite 10,CAN,2018
Jamie Sinclair,Jamie Sinclair (Skip),Princess Auto Elite 10,USA,2018
Jamie Sinclair,Sarah Anderson,Princess Auto Elite 10,USA,2018
Jamie Sinclair,Taylor Anderson,Princess Auto Elite 10,USA,2018
Jamie Sinclair,Monica Walker,Princess Auto Elite 10,USA,2018
Anna Hasselborg,Anna Hasselborg (Skip),Princess Auto Elite 10,SWE,2018
Anna Hasselborg,Sara McManus,Princess Auto Elite 10,SWE,2018
Anna Hasselborg,Agnes Knochenhauer,Princess Auto Elite 10,SWE,2018
Anna Hasselborg,Sofia Mabergs,Princess Auto Elite 10,SWE,2018
Casey Scheidegger,Casey Scheidegger (Skip),Princess Auto Elite 10,CAN,2018
Casey Scheidegger,Cary-Anne McTaggart,Princess Auto Elite 10,CAN,2018
Casey Scheidegger,Jessie Haughian,Princess Auto Elite 10,CAN,2018
Casey Scheidegger,Kristie Moore,Princess Auto Elite 10,CAN,2018
Chelsea Carey,Chelsea Carey (Skip),Princess Auto Elite 10,CAN,2018
Chelsea Carey,Sarah Wilkes,Princess Auto Elite 10,CAN,2018
Chelsea Carey,Dana Ferguson,Princess Auto Elite 10,CAN,2018
Chelsea Carey,Heather Rogers,Princess Auto Elite 10,CAN,2018
Nina Roth,Nina Roth (Skip),Princess Auto Elite 10,USA,2018
Nina Roth,Tabitha Peterson,Princess Auto Elite 10,USA,2018
Nina Roth,Becca Hamilton,Princess Auto Elite 10,USA,2018
Nina Roth,Aileen Geving,Princess Auto Elite 10,USA,2018
Laura Walker,Laura Walker (Skip),Princess Auto Elite 10,CAN,2018
Laura Walker,Cathy Overton-Clapham,Princess Auto Elite 10,CAN,2018
Laura Walker,Lori Olson-Johns,Princess Auto Elite 10,CAN,2018
Laura Walker,Laine Peters,Princess Auto Elite 10,CAN,2018
Silvana Tirinzoni,Alina Paetz,Princess Auto Elite 10,SUI,2018
Silvana Tirinzoni,Silvana Tirinzoni (Skip),Princess Auto Elite 10,SUI,2018
Silvana Tirinzoni,Esther Neuenschwander,Princess Auto Elite 10,SUI,2018
Silvana Tirinzoni,Melanie Barbezat,Princess Auto Elite 10,SUI,2018
Brad Jacobs,Brad Jacobs (Skip),Princess Auto Elite 10,CAN,2018
Brad Jacobs,Ryan Fry,Princess Auto Elite 10,CAN,2018
Brad Jacobs,E.J. Harnden,Princess Auto Elite 10,CAN,2018
Brad Jacobs,Ryan Harnden,Princess Auto Elite 10,CAN,2018
Bruce Mouat,Bruce Mouat (Skip),Princess Auto Elite 10,SCO,2018
Bruce Mouat,Grant Hardie,Princess Auto Elite 10,SCO,2018
Bruce Mouat,Bobby Lammie,Princess Auto Elite 10,SCO,2018
Bruce Mouat,Hammy McMillan Jr.,Princess Auto Elite 10,SCO,2018
Glenn Howard,Glenn Howard (Skip),Princess Auto Elite 10,CAN,2018
Glenn Howard,Scott Howard (Skip),Princess Auto Elite 10,CAN,2018
Glenn Howard,David Mathers,Princess Auto Elite 10,CAN,2018
Glenn Howard,Tim March,Princess Auto Elite 10,CAN,2018
Kevin Koe,Kevin Koe (Skip),Princess Auto Elite 10,CAN,2018
Kevin Koe,B.J. Neufeld,Princess Auto Elite 10,CAN,2018
Kevin Koe,Colton Flasch,Princess Auto Elite 10,CAN,2018
Kevin Koe,Ben Hebert,Princess Auto Elite 10,CAN,2018
John Epping,John Epping (Skip),Princess Auto Elite 10,CAN,2018
John Epping,Mathew Camm,Princess Auto Elite 10,CAN,2018
John Epping,Brent Laing,Princess Auto Elite 10,CAN,2018
John Epping,Craig Savill,Princess Auto Elite 10,CAN,2018
Brad Gushue,Brad Gushue (Skip),Princess Auto Elite 10,CAN,2018
Brad Gushue,Mark Nichols,Princess Auto Elite 10,CAN,2018
Brad Gushue,Brett Gallant,Princess Auto Elite 10,CAN,2018
Brad Gushue,Geoff Walker,Princess Auto Elite 10,CAN,2018
Niklas Edin,Niklas Edin (Skip),Princess Auto Elite 10,SWE,2018
Niklas Edin,Oskar Eriksson,Princess Auto Elite 10,SWE,2018
Niklas Edin,Rasmus Wrana,Princess Auto Elite 10,SWE,2018
Niklas Edin,Christoffer Sundgren,Princess Auto Elite 10,SWE,2018
Jason Gunnlaugson,Jason Gunnlaugson (Skip),Princess Auto Elite 10,CAN,2018
Jason Gunnlaugson,Alex Forrest,Princess Auto Elite 10,CAN,2018
Jason Gunnlaugson,Denni Neufeld,Princess Auto Elite 10,CAN,2018
Jason Gunnlaugson,Connor Njegovan,Princess Auto Elite 10,CAN,2018
Reid Carruthers,Mike McEwen,Princess Auto Elite 10,CAN,2018
