Sport,Event,Competition,Gender,Athlete,Country,Place Finish
Curling,Team,Princess Auto Elite 10,Women,Rachel Homan,CAN,3
Curling,Team,Princess Auto Elite 10,Women,Tracy Fleury,CAN,7
Curling,Team,Princess Auto Elite 10,Women,Jennifer Jones,CAN,3
Curling,Team,Princess Auto Elite 10,Women,Jamie Sinclair,USA,7
Curling,Team,Princess Auto Elite 10,Women,Anna Hasselborg,SWE,1
Curling,Team,Princess Auto Elite 10,Women,Casey Scheidegger,CAN,5
Curling,Team,Princess Auto Elite 10,Women,Chelsea Carey,CAN,7
Curling,Team,Princess Auto Elite 10,Women,Nina Roth,USA,7
Curling,Team,Princess Auto Elite 10,Women,Laura Walker,CAN,5
Curling,Team,Princess Auto Elite 10,Women,Silvana Tirinzoni,SUI,2
Curling,Team,Princess Auto Elite 10,Men,Brad Jacobs,CAN,3
Curling,Team,Princess Auto Elite 10,Men,Bruce Mouat,SCO,7
Curling,Team,Princess Auto Elite 10,Men,Glenn Howard,CAN,5
Curling,Team,Princess Auto Elite 10,Men,Kevin Koe,CAN,5
Curling,Team,Princess Auto Elite 10,Men,John Epping,CAN,3
Curling,Team,Princess Auto Elite 10,Men,Brad Gushue,CAN,1
Curling,Team,Princess Auto Elite 10,Men,Niklas Edin,SWE,7
Curling,Team,Princess Auto Elite 10,Men,Jason Gunnlaugson,CAN,7
Curling,Team,Princess Auto Elite 10,Men,Reid Carruthers,CAN,2
Curling,Team,Princess Auto Elite 10,Men,Ross Paterson,SCO,7
Curling,Team,Canadian Beef Masters of Curling,Women,Rachel Homan,CAN,3
Curling,Team,Canadian Beef Masters of Curling,Women,Tracy Fleury,CAN,5
Curling,Team,Canadian Beef Masters of Curling,Women,Kaitlyn Jones,CAN,1
Curling,Team,Canadian Beef Masters of Curling,Women,Jamie Sinclair,USA,9
Curling,Team,Canadian Beef Masters of Curling,Women,Anna Hasselborg,SWE,5
Curling,Team,Canadian Beef Masters of Curling,Women,Nina Roth,USA,9
Curling,Team,Canadian Beef Masters of Curling,Women,Chelsea Carey,CAN,9
Curling,Team,Canadian Beef Masters of Curling,Women,Satsuki Fujisawa,JPN,9
Curling,Team,Canadian Beef Masters of Curling,Women,Eve Muirhead,SCO,9
Curling,Team,Canadian Beef Masters of Curling,Women,Laura Walker,CAN,9
Curling,Team,Canadian Beef Masters of Curling,Women,Darcy Robertson,CAN,9
Curling,Team,Canadian Beef Masters of Curling,Women,Silvana Tirinzoni,SUI,9
Curling,Team,Canadian Beef Masters of Curling,Women,Casey Scheidegger,CAN,3
Curling,Team,Canadian Beef Masters of Curling,Women,Kerri Einarson,CAN,9
Curling,Team,Canadian Beef Masters of Curling,Men,Brad Jacobs,CAN,9
